Warriors,Smoke+Mirrors,Imagine_Dragons,170,
Paradise,Zero,Krewella,214,
Monster,Smoke+Mirrors,Imagine_Dragons,249,
Mana,Zero,Krewella,176,
Ammunition,Ammunition,Krewella,206,
Take_Over,Take_Over,League_of_Legends,213,
Blade_of_the_Ruined_King,II:_Grasp_of_the_Undying,Pentakill,420,
Rise,Rise,League_of_Legends,192,
POP/STARS,POP/STARS,K/DA,191,
GIANTS,GIANTS,True_Damage,191,
Stomp_me_out,Heaven_on_Hold,Bryce_Fox,228,
Toughest_Man,Grow_Your_Garden,ANIMA!,203,
Miami_Fever,All_or_Nothing,Jeremiah_Kane,230,
Horns,Heaven_on_Holf,Bryce_Fox,217,
Breathe,Be_Here_Now,ANIMA!,234,
Overflow,Grow_Your_Garden,ANIMA!,227,
Piercing_Light,Warsons,League_of_Legends,231,
Masquerade,Artemis,Lindsey_Stirling,201,
The_Wolf,Bounce_into_the_Music,SIAMES,186,
Keep_on_Rocking,Keep_on_Rocking,F.O.O.L,301,
